,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
1,0.16066685520681526,0.098552153830366,0.6668026216571384,0.8730173067925199,0.6663670752893682,0.8729565859395567
2,0.15631155888388476,0.09982284648783281,0.6920660759833506,0.8688284596899374,0.6920656297344245,0.8687963335523133
3,0.15816079208004738,0.10000799355421038,0.6746478734365904,0.8693677729019651,0.6746410862856592,0.8693168916212305
4,0.16221574182834492,0.09857724697112591,0.6579012890533515,0.8732944735392967,0.6563318253227579,0.8731641270238689
0,0.15624467801508074,0.10013134477740214,0.6640284343094706,0.8708662902246707,0.6640187762488265,0.8708123951434134
1,0.1606978463158874,0.09856022059182268,0.6666603928634116,0.872998128837004,0.6662383536366419,0.8729357873914063
2,0.15629389579165448,0.09981832906440812,0.6921353735891187,0.8688404655492088,0.6921352185212815,0.8688082083710722
3,0.15813783850323937,0.10000346416475205,0.6747424121884753,0.8693797451692974,0.6747355168812397,0.8693287287008168
4,0.16219875206621676,0.0985897543595205,0.6579704431989647,0.8732652810354053,0.6564038101339207,0.8731319393494515
0,0.15621355697884648,0.10009982573096951,0.6641623301244375,0.8709471512172176,0.6641526053512627,0.8708937129217669
1,0.16075488308388308,0.09852203149043935,0.6664321876147561,0.8730970922541461,0.6660013863792944,0.8730342353854579
2,0.1563572201452253,0.09977806879233206,0.6918861195247384,0.8689458155831763,0.691885697737874,0.8689140156331756
3,0.15813349806837623,0.09996999700235415,0.6747599474591626,0.8694671294591917,0.6747533718100895,0.8694161749693389
4,0.16216435438681973,0.09855544841320214,0.6581044413772603,0.8733503211462931,0.6565495283741081,0.8732202156956869
0,0.15620974841720656,0.10005200776827829,0.6641789072458879,0.8710691003708446,0.6641689813936036,0.8710170323181965
1,0.16072019262024315,0.09848465846617088,0.6665758028368539,0.8731937213305045,0.6661455227982281,0.873130542668938
2,0.15636492960311849,0.0997434902172726,0.6918554759014783,0.8690373500781445,0.6918553127924421,0.8690048568606794
3,0.15814808502330382,0.09993411131972105,0.674701394737441,0.8695627503544802,0.6746933645784235,0.869509908064719
4,0.16222816435301407,0.09851798919372863,0.6578434594288647,0.873449168620309,0.6562791869067934,0.873316570982412
0,0.15621094016555837,0.10002656370767303,0.6641732189287979,0.8711363990117934,0.6641638571604023,0.8710826268668509
1,0.16067743451059277,0.09847218889742551,0.6667488047849605,0.8732269745223833,0.6663231369143789,0.8731626676169676
2,0.15646684277115708,0.09971860381272118,0.6914538185806529,0.8691017942448448,0.6914535061292761,0.8690702163428465
3,0.15814855841513403,0.09992103815135067,0.6746993939935668,0.8695987884231253,0.6746914170653193,0.8695440467054225
